embedding_name,embedding_base,variant,index_type,query_order,query_row,neighbor_rank,neighbor_row,distance,query_utterance,neighbor_utterance,query_context,neighbor_context,build_time_s,search_time_s
dialog2flow-joint-bert-base,Dialog2Flow,estatico,IVF,0,258133,1,572964,5.911047476145348e-13,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","Oh, I completely forgot to mention that I will also need a hotel that has free parking. Any of the 7 you said have this option?","[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[8] user: I'd also like to find a 4 star hotel with free wifi, please.
[9] system: There are 3 hotels which are 4 stars, two in the west and one in the centre. Is there an area which you prefer?
[10] user: Oh, I completely forgot to mention that I will also need a hotel that has free parking. Any of the 7 you said have this option?",264.24617433547974,0.5240299701690674
dialog2flow-joint-bert-base,Dialog2Flow,estatico,IVF,0,258133,2,92687,5.996743900060775e-13,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","oh, i completely forgot to mention that i will also need a hotel that has free parking. any of the 7 you said have this option?","[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[8] user: i'd also like to find a 4 star hotel with free wifi, please.
[9] system: there are 3 hotels which are 4 stars, two in the west and one in the centre. is there an area which you prefer?
[10] user: oh, i completely forgot to mention that i will also need a hotel that has free parking. any of the 7 you said have this option?",264.24617433547974,0.5240299701690674
dialog2flow-joint-bert-base,Dialog2Flow,estatico,IVF,0,258133,3,683102,1.1835755899664013e-12,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","Oh, I completely forgot to mention that I will also need a hotel that has free parking. Any of the 7 you said have this option?","[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[3] user: The booking will be for only one person, and can I please have a reference number as well?
[4] user: I'd also like to find a 4 star hotel with free wifi, please.
[5] user: Oh, I completely forgot to mention that I will also need a hotel that has free parking. Any of the 7 you said have this option?",264.24617433547974,0.5240299701690674
dialog2flow-joint-bert-base,Dialog2Flow,estatico,IVF,0,258133,4,116471,0.3937678933143616,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",oh i'm sorry i forgot to mention i must have a hotel that includes free parking.,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[6] user: friday, for 1 person and will stay for 2 days. can you book it for me ?
[7] system: el shaddai has been booked for you for friday.
[8] user: oh i'm sorry i forgot to mention i must have a hotel that includes free parking.",264.24617433547974,0.5240299701690674
dialog2flow-joint-bert-base,Dialog2Flow,estatico,IVF,0,258133,5,323472,0.39376792311668396,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",oh i 'm sorry i forgot to mention i must have a hotel that includes free parking .,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[5] user: friday , for 1 person and will stay for 2 days . can you book it for me ?
[6] system: el shaddai has been booked for you for friday .
[7] user: oh i 'm sorry i forgot to mention i must have a hotel that includes free parking .",264.24617433547974,0.5240299701690674
dialog2flow-joint-bert-base,Dialog2Flow,estatico,IVF,0,258133,6,722234,0.3937680125236511,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",Oh I'm sorry I forgot to mention I must have a hotel that includes free parking.,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[2] user: I would like it in the centre.
[3] user: Friday, for 1 person and will stay for 2 days. Can you book it for me ?
[4] user: Oh I'm sorry I forgot to mention I must have a hotel that includes free parking.",264.24617433547974,0.5240299701690674
dialog2flow-joint-bert-base,Dialog2Flow,estatico,IVF,0,258133,7,200930,0.443184494972229,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",i would like a guesthouse with free parking. do any of those 5 fit that?,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[1] system: i found five expensive hotels with free parking. what part of town are you wanting to stay in?
[2] user: are any of them guest houses?
[3] system: i would like a guesthouse with free parking. do any of those 5 fit that?",264.24617433547974,0.5240299701690674
dialog2flow-joint-bert-base,Dialog2Flow,estatico,IVF,0,258133,8,339828,0.443184494972229,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",i would like a guesthouse with free parking . do any of those 5 fit that ?,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[1] system: i found five expensive hotels with free parking . what part of town are you wanting to stay in ?
[2] user: are any of them guest houses ?
[3] system: i would like a guesthouse with free parking . do any of those 5 fit that ?",264.24617433547974,0.5240299701690674
dialog2flow-joint-bert-base,Dialog2Flow,estatico,IVF,0,258133,9,675310,0.44318461418151855,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",I would like a guesthouse with free parking.  Do any of those 5 fit that?,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[0] user: I am looking for a hotel in Cambridge that has free parking and is in the expensive price range.
[1] system: I found five expensive hotels with free parking.  What part of town are you wanting to stay in?
[2] system: I would like a guesthouse with free parking.  Do any of those 5 fit that?",264.24617433547974,0.5240299701690674
dialog2flow-joint-bert-base,Dialog2Flow,estatico,IVF,0,258133,10,159369,0.4587421417236328,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",thank you. i'm also interested in finding a hotel. i prefer one that includes free parking.,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[4] user: i'm talking about the all saints church . <conj> could you provide me with the address and postcode?
[5] system: cb58bs jesus lane
[6] user: thank you. i'm also interested in finding a hotel. i prefer one that includes free parking.",264.24617433547974,0.5240299701690674
dialog2flow-joint-bert-base,Dialog2Flow,estatico,IVF,1,185989,1,588206,5.437944474058487e-13,i'm sorry. that comes out to a 49-minute train ride. does that sound agreeable to you?,I'm sorry.  That comes out to a 49-minute train ride.  Does that sound agreeable to you?,"[7] system: the first train of sunday leaves at 11:21 and arrives by 12:10. does that meet your requirements?
[8] user: by travel time, i mean the duration of the train trip.
[9] system: i'm sorry. that comes out to a 49-minute train ride. does that sound agreeable to you?","[7] system: The first train of Sunday leaves at 11:21 and arrives by 12:10. Does that meet your requirements?
[8] user: By travel time, I mean the duration of the train trip.
[9] system: I'm sorry.  That comes out to a 49-minute train ride.  Does that sound agreeable to you?",264.24617433547974,0.5240299701690674
