embedding_name,embedding_base,variant,index_type,query_order,query_row,neighbor_rank,neighbor_row,distance,query_utterance,neighbor_utterance,query_context,neighbor_context,build_time_s,search_time_s
all-mpnet-base-v2,MPNet,estatico,IVF,0,258133,1,92687,5.581551930713968e-13,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","oh, i completely forgot to mention that i will also need a hotel that has free parking. any of the 7 you said have this option?","[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[8] user: i'd also like to find a 4 star hotel with free wifi, please.
[9] system: there are 3 hotels which are 4 stars, two in the west and one in the centre. is there an area which you prefer?
[10] user: oh, i completely forgot to mention that i will also need a hotel that has free parking. any of the 7 you said have this option?",247.78401827812195,0.7096474170684814
all-mpnet-base-v2,MPNet,estatico,IVF,0,258133,2,572964,6.150038703127414e-13,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","Oh, I completely forgot to mention that I will also need a hotel that has free parking. Any of the 7 you said have this option?","[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[8] user: I'd also like to find a 4 star hotel with free wifi, please.
[9] system: There are 3 hotels which are 4 stars, two in the west and one in the centre. Is there an area which you prefer?
[10] user: Oh, I completely forgot to mention that I will also need a hotel that has free parking. Any of the 7 you said have this option?",247.78401827812195,0.7096474170684814
all-mpnet-base-v2,MPNet,estatico,IVF,0,258133,3,683102,9.458193776790136e-13,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","Oh, I completely forgot to mention that I will also need a hotel that has free parking. Any of the 7 you said have this option?","[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[3] user: The booking will be for only one person, and can I please have a reference number as well?
[4] user: I'd also like to find a 4 star hotel with free wifi, please.
[5] user: Oh, I completely forgot to mention that I will also need a hotel that has free parking. Any of the 7 you said have this option?",247.78401827812195,0.7096474170684814
all-mpnet-base-v2,MPNet,estatico,IVF,0,258133,4,133389,0.3695395886898041,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",i need a hotel to include free parking; does either have that?,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[2] user: are there any moderate priced hotels in the north?
[3] system: yes i have two. would you like me to book one?
[4] user: i need a hotel to include free parking; does either have that?",247.78401827812195,0.7096474170684814
all-mpnet-base-v2,MPNet,estatico,IVF,0,258133,5,595666,0.36953967809677124,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",I need a hotel to include free parking; does either have that?,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[2] user: Are there any moderate priced hotels in the North?
[3] system: Yes I have two. Would you like me to book one?
[4] user: I need a hotel to include free parking; does either have that?",247.78401827812195,0.7096474170684814
all-mpnet-base-v2,MPNet,estatico,IVF,0,258133,6,728035,0.369539737701416,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",I need a hotel to include free parking; does either have that?,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?","[0] user: I'm looking to stay at a 3 star hotel in the north.
[1] user: Are there any moderate priced hotels in the North?
[2] user: I need a hotel to include free parking; does either have that?",247.78401827812195,0.7096474170684814
all-mpnet-base-v2,MPNet,estatico,IVF,0,258133,7,130774,0.3918405771255493,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",i would like to find a 1 star hotel to stay at that includes free parking. do you know of any?,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",[0] user: i would like to find a 1 star hotel to stay at that includes free parking. do you know of any?,247.78401827812195,0.7096474170684814
all-mpnet-base-v2,MPNet,estatico,IVF,0,258133,8,317217,0.39184069633483887,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",i would like to find a 1 star hotel to stay at that includes free parking . do you know of any ?,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",[0] user: i would like to find a 1 star hotel to stay at that includes free parking . do you know of any ?,247.78401827812195,0.7096474170684814
all-mpnet-base-v2,MPNet,estatico,IVF,0,258133,9,613680,0.39184069633483887,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",I would like to find a 1 star hotel to stay at that includes free parking. Do you know of any?,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",[0] user: I would like to find a 1 star hotel to stay at that includes free parking. Do you know of any?,247.78401827812195,0.7096474170684814
all-mpnet-base-v2,MPNet,estatico,IVF,0,258133,10,688785,0.39184069633483887,"oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",I would like to find a 1 star hotel to stay at that includes free parking. Do you know of any?,"[6] user: i 'd also like to find a 4 star hotel with free wifi , please .
[7] system: there are 3 hotels which are 4 stars , two in the west and one in the centre . is there an area which you prefer ?
[8] user: oh , i completely forgot to mention that i will also need a hotel that has free parking . any of the 7 you said have this option ?",[0] user: I would like to find a 1 star hotel to stay at that includes free parking. Do you know of any?,247.78401827812195,0.7096474170684814
